stage,seed,n_video,video,backbone,accuracy,f1
FE,37,2,79,CEN-BB,0.6019332161687171,0.4525549221563865
FE,37,2,52,CEN-BB,0.5895218718209563,0.5222694140807366
FE,37,2,68,CEN-BB,0.5745436105476673,0.4972442807578687
FE,37,2,51,CEN-BB,0.31623641304347827,0.2880812884678399
FE,37,2,72,CEN-BB,0.4793947198969736,0.3448022949205142
FE,37,2,67,CEN-BB,0.46876328091797703,0.372359600557948
FE,37,2,64,CEN-BB,0.5888240200166805,0.40409455527984645
FE,37,2,73,CEN-BB,0.5848082595870207,0.49124654935294404
FE,37,2,62,CEN-BB,0.4424212598425197,0.3813000747922784
FE,1665,2,65,CEN-BB,0.6844634276561665,0.42381971628236886
FE,1665,2,77,CEN-BB,0.5887290167865707,0.5181927553831678
FE,1665,2,50,CEN-BB,0.5127970749542962,0.2822535893346147
FE,1665,2,69,CEN-BB,0.6362841530054645,0.3715573452256403
FE,1665,2,71,CEN-BB,0.5013916500994036,0.23286852397554397
FE,1665,2,63,CEN-BB,0.4086804544130498,0.23118468045062238
FE,1665,2,57,CEN-BB,0.4270516717325228,0.28737075552189995
FE,1665,2,56,CEN-BB,0.3685932388222465,0.20641920729282054
FE,1665,2,58,CEN-BB,0.3792758217920908,0.20358970151548722
FE,1665,2,78,CEN-BB,0.34641407307171856,0.26462133511691927
FE,1665,2,75,CEN-BB,0.7072282891315652,0.3847456868121876
FE,1665,2,49,CEN-BB,0.4889287851585877,0.4353366235590133
FE,1665,2,54,CEN-BB,0.6083870967741936,0.5024925758625944
FE,1665,2,66,CEN-BB,0.6710526315789473,0.5263763267936105
FE,1665,2,76,CEN-BB,0.6013590033975085,0.4520052464786472
FE,1665,2,70,CEN-BB,0.4648241206030151,0.3255085728163926
FE,1665,2,53,CEN-BB,0.6420956442278404,0.44419624805008023
FE,1665,2,55,CEN-BB,0.4840887174541948,0.40165097364246904
FE,1665,2,74,CEN-BB,0.36964504283965727,0.3540216443857603
FE,1665,2,59,CEN-BB,0.6424474187380497,0.40631904683122927
FE,1665,2,61,CEN-BB,0.66772510773418,0.3852300474658566
FE,1665,2,60,CEN-BB,0.4174565560821485,0.2881079512754812
FE,1665,2,80,CEN-BB,0.7354988399071926,0.40930577988855704
FE,1665,2,79,CEN-BB,0.651435266549502,0.37770593101552313
FE,1665,2,52,CEN-BB,0.4989827060020346,0.4494279502040938
FE,1665,2,68,CEN-BB,0.6602434077079108,0.6027485046185707
FE,1665,2,51,CEN-BB,0.413383152173913,0.19484978907154576
FE,1665,2,72,CEN-BB,0.4465550547327753,0.3727867907949444
FE,1665,2,67,CEN-BB,0.463238419039524,0.251621224876199
FE,1665,2,64,CEN-BB,0.7035029190992493,0.45931021045661696
FE,1665,2,73,CEN-BB,0.696165191740413,0.5647239781676784
FE,1665,2,62,CEN-BB,0.4104330708661417,0.3299878039723763
FE,8914,2,65,CEN-BB,0.6625734116390817,0.32691871506738057
FE,8914,2,77,CEN-BB,0.5639488409272582,0.3810942214295592
FE,8914,2,50,CEN-BB,0.7129798903107861,0.4478784965009924
FE,8914,2,69,CEN-BB,0.7103825136612022,0.3717339135653294
FE,8914,2,71,CEN-BB,0.7053677932405567,0.4127282798444401
FE,8914,2,63,CEN-BB,0.23128459073696475,0.1335584091375326
FE,8914,2,57,CEN-BB,0.5315349544072948,0.32597380832684925
FE,8914,2,56,CEN-BB,0.5103598691384951,0.26992717826803314
FE,8914,2,58,CEN-BB,0.6197230101785416,0.26891507435791695
FE,8914,2,78,CEN-BB,0.32070365358592695,0.25714013444771616
FE,8914,2,75,CEN-BB,0.6599063962558502,0.3484830943784682
FE,8914,2,49,CEN-BB,0.5571514063435069,0.3915979448986403
FE,8914,2,54,CEN-BB,0.5012903225806452,0.3577433751286552
FE,8914,2,66,CEN-BB,0.6277412280701754,0.351004872919643
FE,8914,2,76,CEN-BB,0.6636466591166478,0.4183679749238104
FE,8914,2,70,CEN-BB,0.5954773869346733,0.36229859545439297
FE,8914,2,53,CEN-BB,0.6847395674687785,0.3569467379717989
FE,8914,2,55,CEN-BB,0.6219864995178399,0.3913300124314632
FE,8914,2,74,CEN-BB,0.3164014687882497,0.2408867555348261
FE,8914,2,59,CEN-BB,0.6089866156787763,0.39092510134880876
FE,8914,2,61,CEN-BB,0.6836017237468813,0.3224125419170962
FE,8914,2,60,CEN-BB,0.47511848341232227,0.25649687501730284
FE,8914,2,80,CEN-BB,0.7395591647331786,0.4389725777933994
FE,8914,2,79,CEN-BB,0.536613942589338,0.302953211037631
FE,8914,2,52,CEN-BB,0.44252288911495424,0.3748038881008894
