stage,seed,n_video,video,backbone,accuracy,f1
S2,37,2,18,FL-BB,0.3642158806324005,0.5889
S2,37,2,19,FL-BB,0.42545637488365173,0.5657
S2,37,2,20,FL-BB,0.2629508078098297,0.4846
S2,37,2,21,FL-BB,0.3710217773914337,0.4502
S2,37,2,22,FL-BB,0.25367793440818787,0.3725
S2,37,2,23,FL-BB,0.36091434955596924,0.5728
S2,37,2,24,FL-BB,0.5523598790168762,0.7383
S2,37,2,25,FL-BB,0.4975520074367523,0.6104
S2,37,2,26,FL-BB,0.39833593368530273,0.6839
S2,37,2,27,FL-BB,0.53265380859375,0.6772
S2,37,2,28,FL-BB,0.5235811471939087,0.6902
S2,37,2,29,FL-BB,0.4479025602340698,0.4807
S2,37,2,30,FL-BB,0.3963093161582947,0.6312
S2,37,2,31,FL-BB,0.45533642172813416,0.5636
S2,8914,8,0,CEN-BB,0.8288450241088867,0.7337
S2,8914,8,1,CEN-BB,0.8738573789596558,0.6831
S2,8914,8,2,CEN-BB,0.7241848111152649,0.7739
S2,8914,8,3,CEN-BB,0.8143438696861267,0.8252
S2,8914,8,4,CEN-BB,0.8349071145057678,0.7011
S2,8914,8,5,CEN-BB,0.7512903213500977,0.8131
S2,8914,8,6,CEN-BB,0.7338476181030273,0.7148
S2,8914,8,7,CEN-BB,0.6668484210968018,0.6333
S2,8914,8,8,CEN-BB,0.7006078958511353,0.7258
S2,8914,8,9,CEN-BB,0.47772401571273804,0.5495
S2,8914,8,10,CEN-BB,0.584130048751831,0.6561
S2,8914,8,11,CEN-BB,0.6437598466873169,0.6116
S2,8914,8,12,CEN-BB,0.7786346077919006,0.6173
S2,8914,8,13,CEN-BB,0.7898622155189514,0.8138
S2,8914,8,14,CEN-BB,0.5802505016326904,0.5648
S2,8914,8,15,CEN-BB,0.8185988068580627,0.6518
S2,8914,8,16,CEN-BB,0.8286172151565552,0.6635
S2,8914,8,17,CEN-BB,0.8996710777282715,0.8498
S2,8914,8,18,CEN-BB,0.8223544359207153,0.8107
S2,8914,8,19,CEN-BB,0.8569979667663574,0.8221
S2,8914,8,20,CEN-BB,0.7481967210769653,0.6893
S2,8914,8,21,CEN-BB,0.6917923092842102,0.6661
S2,8914,8,22,CEN-BB,0.645725667476654,0.5255
S2,8914,8,23,CEN-BB,0.8776561617851257,0.8532
S2,8914,8,24,CEN-BB,0.9417403936386108,0.9118
S2,8914,8,25,CEN-BB,0.5569155216217041,0.6351
S2,8914,8,26,CEN-BB,0.7743109464645386,0.624
S2,8914,8,27,CEN-BB,0.9037372469902039,0.8603
S2,8914,8,28,CEN-BB,0.7913669347763062,0.7911
S2,8914,8,29,CEN-BB,0.6089310050010681,0.6528
S2,8914,8,30,CEN-BB,0.7152900099754333,0.7034
S2,8914,8,31,CEN-BB,0.7198376059532166,0.6236
S2,1665,8,0,CEN-BB,0.8707360625267029,0.8041
S2,1665,8,1,CEN-BB,0.8866544961929321,0.7795
S2,1665,8,2,CEN-BB,0.781589686870575,0.8336
S2,1665,8,3,CEN-BB,0.8865717053413391,0.869
S2,1665,8,4,CEN-BB,0.798050582408905,0.7216
S2,1665,8,5,CEN-BB,0.7967742085456848,0.7942
S2,1665,8,6,CEN-BB,0.8852459192276001,0.819
S2,1665,8,7,CEN-BB,0.6913849711418152,0.7035
S2,1665,8,8,CEN-BB,0.7253039479255676,0.7704
S2,1665,8,9,CEN-BB,0.625730037689209,0.6865
S2,1665,8,10,CEN-BB,0.8126195073127747,0.7705
S2,1665,8,11,CEN-BB,0.6682464480400085,0.6276
S2,1665,8,12,CEN-BB,0.7965524792671204,0.6761
S2,1665,8,13,CEN-BB,0.7829724550247192,0.7336
S2,1665,8,14,CEN-BB,0.6487037539482117,0.6015
S2,1665,8,15,CEN-BB,0.7147623300552368,0.6105
S2,1665,8,16,CEN-BB,0.8131340146064758,0.702
S2,1665,8,17,CEN-BB,0.9073464870452881,0.8665
S2,1665,8,18,CEN-BB,0.9001274704933167,0.8535
S2,1665,8,19,CEN-BB,0.8823529481887817,0.8521
S2,1665,8,20,CEN-BB,0.8673223853111267,0.7557
S2,1665,8,21,CEN-BB,0.7470687031745911,0.7393
S2,1665,8,22,CEN-BB,0.7550695538520813,0.6427
S2,1665,8,23,CEN-BB,0.8338699340820312,0.8449
S2,1665,8,24,CEN-BB,0.9572271108627319,0.9352
S2,1665,8,25,CEN-BB,0.6517747640609741,0.682
S2,1665,8,26,CEN-BB,0.5210608243942261,0.5851
S2,1665,8,27,CEN-BB,0.7859569787979126,0.8165
S2,1665,8,28,CEN-BB,0.8277378082275391,0.8182
S2,1665,8,29,CEN-BB,0.6116373538970947,0.6014
S2,1665,8,30,CEN-BB,0.7624487280845642,0.7112
S2,1665,8,31,CEN-BB,0.8288863301277161,0.7323
S2,37,8,0,CEN-BB,0.669060468673706,0.7449
S2,37,8,1,CEN-BB,0.7952467799186707,0.6599
S2,37,8,2,CEN-BB,0.76732337474823,0.8323
S2,37,8,3,CEN-BB,0.8362156748771667,0.8241
S2,37,8,4,CEN-BB,0.7544928193092346,0.7146
S2,37,8,5,CEN-BB,0.4980645179748535,0.6658
S2,37,8,6,CEN-BB,0.7666345238685608,0.7646
S2,37,8,7,CEN-BB,0.738277018070221,0.72
S2,37,8,8,CEN-BB,0.7211246490478516,0.7605
S2,37,8,9,CEN-BB,0.6579342484474182,0.6403
S2,37,8,10,CEN-BB,0.6510516405105591,0.6612
S2,37,8,11,CEN-BB,0.5829383730888367,0.5588
S2,37,8,12,CEN-BB,0.7833976149559021,0.6528
S2,37,8,13,CEN-BB,0.7401574850082397,0.6623
S2,37,8,14,CEN-BB,0.3547917306423187,0.4947
S2,37,8,15,CEN-BB,0.7264387011528015,0.6359
S2,37,8,16,CEN-BB,0.8179391622543335,0.6716
S2,37,8,17,CEN-BB,0.9024122953414917,0.8476
S2,37,8,18,CEN-BB,0.61793452501297,0.7652
S2,37,8,19,CEN-BB,0.8078093528747559,0.7789
S2,37,8,20,CEN-BB,0.9090710282325745,0.804
S2,37,8,21,CEN-BB,0.7345058917999268,0.7164
S2,37,8,22,CEN-BB,0.8111332058906555,0.6338
S2,37,8,23,CEN-BB,0.5531229972839355,0.6393
S2,37,8,24,CEN-BB,0.8333333134651184,0.8568
S2,37,8,25,CEN-BB,0.4657282829284668,0.5799
S2,37,8,26,CEN-BB,0.5772230625152588,0.5839
S2,37,8,27,CEN-BB,0.8052095174789429,0.817
S2,37,8,28,CEN-BB,0.7765787243843079,0.7912
S2,37,8,29,CEN-BB,0.5575101375579834,0.5602
S2,37,8,30,CEN-BB,0.746045708656311,0.727
S2,37,8,31,CEN-BB,0.7761020660400391,0.6131
S2,1665,4,0,CEN-BB,0.7576301693916321,0.7259
S2,1665,4,1,CEN-BB,0.8436928987503052,0.6742
S2,1665,4,2,CEN-BB,0.734035313129425,0.8211
S2,1665,4,3,CEN-BB,0.8234995007514954,0.8099
S2,1665,4,4,CEN-BB,0.797745943069458,0.652
S2,1665,4,5,CEN-BB,0.78838711977005,0.7533
S2,1665,4,6,CEN-BB,0.6788814067840576,0.7404
S2,1665,4,7,CEN-BB,0.6619411110877991,0.6665
S2,1665,4,8,CEN-BB,0.7587385773658752,0.7769
S2,1665,4,9,CEN-BB,0.5312864780426025,0.5617
S2,1665,4,10,CEN-BB,0.7667304277420044,0.7736
S2,1665,4,11,CEN-BB,0.7160347700119019,0.6201
S2,1665,4,12,CEN-BB,0.6913132071495056,0.5976
S2,1665,4,13,CEN-BB,0.7933070659637451,0.802
S2,1665,4,14,CEN-BB,0.6003495454788208,0.5785
S2,1665,4,15,CEN-BB,0.7577147483825684,0.6955
